项目楼栋情况,星河天地华邸1栋,座号,一单元裙楼,合同号,--,拟售价格,50000元/平方米(按建筑面积计)楼层,2,房号,201,用途,商业,,建筑面积1219.9平方米,户内面积,947.78平方米,分摊面积,272.12平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,星河天地华邸1栋,座号,一单元,合同号,--,拟售价格,42871.13元/平方米(按建筑面积计)楼层,34,房号,3401,用途,商务公寓,,建筑面积48.64平方米,户内面积,29.26平方米,分摊面积,19.38平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,星河天地华邸1栋,座号,一单元,合同号,--,拟售价格,42228.27元/平方米(按建筑面积计)楼层,34,房号,3402,用途,商务公寓,,建筑面积43.55平方米,户内面积,26.2平方米,分摊面积,17.35平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,星河天地华邸1栋,座号,一单元,合同号,--,拟售价格,42228.27元/平方米(按建筑面积计)楼层,34,房号,3403,用途,商务公寓,,建筑面积43.55平方米,户内面积,26.2平方米,分摊面积,17.35平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,星河天地华邸1栋,座号,一单元,合同号,--,拟售价格,42228.27元/平方米(按建筑面积计)楼层,34,房号,3404,用途,商务公寓,,建筑面积43.55平方米,户内面积,26.2平方米,分摊面积,17.35平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,星河天地华邸1栋,座号,一单元,合同号,--,拟售价格,42228.27元/平方米(按建筑面积计)楼层,34,房号,3405,用途,商务公寓,,建筑面积43.55平方米,户内面积,26.2平方米,分摊面积,17.35平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,星河天地华邸1栋,座号,一单元,合同号,--,拟售价格,42228.27元/平方米(按建筑面积计)楼层,34,房号,3406,用途,商务公寓,,建筑面积43.55平方米,户内面积,26.2平方米,分摊面积,17.35平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,星河天地华邸1栋,座号,一单元,合同号,--,拟售价格,41928.27元/平方米(按建筑面积计)楼层,34,房号,3407,用途,商务公寓,,建筑面积43.55平方米,户内面积,26.2平方米,分摊面积,17.35平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,星河天地华邸1栋,座号,一单元,合同号,--,拟售价格,42228.27元/平方米(按建筑面积计)楼层,34,房号,3408,用途,商务公寓,,建筑面积43.55平方米,户内面积,26.2平方米,分摊面积,17.35平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,星河天地华邸1栋,座号,一单元,合同号,--,拟售价格,42228.27元/平方米(按建筑面积计)楼层,34,房号,3409,用途,商务公寓,,建筑面积43.55平方米,户内面积,26.2平方米,分摊面积,17.35平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
