1,桑泰龙樾府3栋,A座2002,G09202-0027,住宅,68.31,37386.72,2553887,未售
2,荣德时代广场,B座703,G08215-0312,商务公寓,79.10,--,--,已网签
3,悦彩城1栋,B座4001,H409-0078（1）,商务公寓,97,--,--,已网签
4,壹成中心璞誉府3栋,4903,A824-0130,住宅,225.50,--,--,已网签
5,悦彩城1栋,A座1302,H409-0078（1）,商务公寓,102.53,--,--,已网签
6,壹成中心璞誉府3栋,1703,A824-0130,住宅,126.55,--,--,已网签
7,碧桂园观麓花园01-01地块1栋,B座703,G02114-0056,商务公寓,29.67,--,--,已转移登记
8,天福华府（A区）A2栋,1302,A126-0672,住宅,128.43,55000,7063650,未售
9,天福华府（A区）A2栋,1304,A126-0672,住宅,89.42,55000,4918100,未售
10,天福华府（A区）A2栋,1701,A126-0672,住宅,126.57,55480,7022103.60,未售
11,天福华府（B区）B4栋,1座1903,A126-0671,住宅,85.58,47401,4056577.58,未售
12,天福华府（B区）B4栋,2座101,A126-0671,住宅,88.86,47938,4259770.68,未售
13,天福华府（B区）B4栋,2座103,A126-0671,住宅,85.60,44392,3799955.20,未售
14,天福华府（B区）B4栋,2座104,A126-0671,住宅,88.70,47251,4191163.70,未售
15,天福华府（B区）B4栋,2座1602,A126-0671,住宅,85.57,45975,3934080.75,未售
16,天福华府（B区）B4栋,2座2503,A126-0671,住宅,85.57,46371,3967966.47,未售
17,天福华府（B区）B1栋,101,A126-0671,住宅,117.78,46513,5478301.14,未售
18,天福华府（B区）B1栋,102,A126-0671,住宅,126.39,45839,5793591.21,未售
19,天福华府（A区）A1栋,102,A126-0672,住宅,129.58,53920,6986953.60,未售
20,天福华府（B区）B3栋,103,A126-0671,住宅,85.94,45421,3903480.74,未售
21,天福华府（B区）B1栋,103,A126-0671,住宅,88.57,45839,4059960.23,未售
22,天福华府（B区）B3栋,104,A126-0671,住宅,88.97,51255,4560157.35,未售
23,天福华府（B区）B1栋,104,A126-0671,住宅,89.08,49495,4409014.60,未售
24,天福华府（B区）B1栋,105,A126-0671,住宅,88.12,50525,4452263,未售
25,天福华府（B区）B1栋,1402,A126-0671,住宅,125.24,48540,6079149.60,未售
26,天福华府（B区）B4栋,1座101,A126-0671,住宅,88.70,46879,4158167.30,未售
27,天福华府（B区）B4栋,1座102,A126-0671,住宅,85.68,45421,3891671.28,未售
28,天福华府（B区）B4栋,1座104,A126-0671,住宅,88.86,47938,4259770.68,未售
29,天福华府（B区）B4栋,1座202,A126-0671,住宅,85.58,45509,3894660.22,未售
30,天福华府（B区）B4栋,1座203,A126-0671,住宅,85.58,45509,3894660.22,未售
31,天福华府（B区）B3栋,201,A126-0671,住宅,89.08,50999,4542990.92,未售
32,天福华府（B区）B1栋,201,A126-0671,住宅,116.72,47995,5601976.40,未售
33,天福华府（B区）B2栋,201,A126-0671,住宅,117.11,45572,5336936.92,未售
34,天福华府（A区）A1栋,201,A126-0672,住宅,125.95,54000,6801300,未售
35,天福华府（B区）B3栋,202,A126-0671,住宅,85.84,45509,3906492.56,未售
36,天福华府（B区）B1栋,202,A126-0671,住宅,125.25,47309,5925452.25,未售
37,天福华府（B区）B2栋,202,A126-0671,住宅,125.67,47259,5939038.53,未售
38,天福华府（A区）A1栋,202,A126-0672,住宅,127.80,54000,6901200,未售
39,天福华府（B区）B3栋,203,A126-0671,住宅,85.84,45509,3906492.56,未售
40,天福华府（B区）B1栋,203,A126-0671,住宅,87.77,47309,4152310.93,未售
41,天福华府（B区）B2栋,203,A126-0671,住宅,88.07,46247,4072973.29,未售
42,天福华府（B区）B1栋,204,A126-0671,住宅,88.27,49583,4376691.41,未售
43,天福华府（B区）B2栋,204,A126-0671,住宅,88.57,48482,4294050.74,未售
44,天福华府（B区）B3栋,204,A126-0671,住宅,88.97,51343,4567986.71,未售
45,天福华府（B区）B1栋,205,A126-0671,住宅,87.33,50613,4420033.29,未售
46,天福华府（B区）B2栋,205,A126-0671,住宅,87.62,48482,4247992.84,未售
47,天福华府（B区）B3栋,2302,A126-0671,住宅,85.84,47698,4094396.32,未售
48,天福华府（B区）B1栋,2502,A126-0671,住宅,125.24,49200,6161808,未售
49,天福华府（B区）B2栋,2502,A126-0671,住宅,125.66,50557,6352992.62,未售
50,天福华府（B区）B4栋,2座202,A126-0671,住宅,85.57,44480,3806153.60,未售
51,天福华府（B区）B1栋,302,A126-0671,住宅,125.25,47397,5936474.25,未售
52,天福华府（B区）B2栋,302,A126-0671,住宅,125.67,48754,6126915.18,未售
53,天福华府（B区）B3栋,304,A126-0671,住宅,88.97,51430,4575727.10,未售
54,天福华府（B区）B1栋,402,A126-0671,住宅,125.25,47485,5947496.25,未售
55,天福华府（B区）B2栋,402,A126-0671,住宅,125.67,48842,6137974.14,未售
56,天福华府（B区）B1栋,502,A126-0671,住宅,125.25,36752,4603188,未售
57,天福华府（B区）B2栋,502,A126-0671,住宅,125.67,48929,6148907.43,未售
58,天福华府（A区）A1栋,601,A126-0672,住宅,125.94,54320,6841060.80,未售
59,天福华府（B区）B1栋,602,A126-0671,住宅,125.25,47661,5969540.25,未售
60,天福华府（A区）A1栋,602,A126-0672,住宅,127.79,54320,6941552.80,未售
61,天福华府（A区）A1栋,603,A126-0672,住宅,88.09,54320,4785048.80,未售
62,天福华府（A区）A1栋,604,A126-0672,住宅,88.80,54320,4823616,未售
63,天福华府（B区）B2栋,702,A126-0671,住宅,125.67,49105,6171025.35,未售
64,天福华府（A区）A1栋,101,A126-0672,住宅,127.71,53920,6886123.20,未售
65,天福华府（A区）A2栋,1501,A126-0672,住宅,126.57,55240,6991726.80,未售
66,天福华府（A区）A2栋,1602,A126-0672,住宅,128.43,55360,7109884.80,未售
67,天福华府（A区）A1栋,1701,A126-0672,住宅,125.94,55480,6987151.20,未售
68,天福华府（A区）A1栋,2001,A126-0672,住宅,125.94,55840,7032489.60,未售
69,天福华府（A区）A2栋,2001,A126-0672,住宅,126.57,55840,7067668.80,未售
70,天福华府（A区）A2栋,2005,A126-0672,住宅,88.47,55840,4940164.80,未售
71,天福华府（A区）A1栋,201,A126-0672,住宅,125.95,54000,6801300,未售
72,天福华府（A区）A1栋,202,A126-0672,住宅,127.80,54000,6901200,未售
