1,嘉洲商务中心（A007-0559）3栋商务公寓,A座2410,A007-0559,商务公寓,87.82,--,--,已网签
2,桑泰龙樾府3栋,B座406,G09202-0027,住宅,69.09,--,--,已网签
3,桑泰龙樾府3栋,A座702,G09202-0027,住宅,68.31,--,--,已转移登记
4,桑泰龙樾府3栋,B座502,G09202-0027,住宅,69.09,--,--,已网签
5,桑泰龙樾府3栋,A座1506,G09202-0027,住宅,88.50,--,--,已网签
6,璟悦轩,B座1902,A627-0262,商务公寓,38.40,--,--,已网签
7,璟悦轩,B座2412,A627-0262,商务公寓,38.40,--,--,已网签
8,里城玺樾山花园9号楼,3105,G06105-0255,住宅,79.83,55046.79,4394385,未售
9,里城玺樾山花园9号楼,3201,G06105-0255,住宅,93.80,54422.59,5104839,未售
10,里城玺樾山花园9号楼,3202,G06105-0255,住宅,79.83,56164.52,4483614,未售
11,里城玺樾山花园9号楼,3204,G06105-0255,住宅,91.89,54746.78,5030682,未售
12,里城玺樾山花园9号楼,3205,G06105-0255,住宅,79.83,55046.79,4394385,未售
13,里城玺樾山花园9号楼,2101,G06105-0255,住宅,93.80,53922.59,5057939,未售
14,里城玺樾山花园9号楼,2102,G06105-0255,住宅,79.83,55664.52,4443699,未售
15,里城玺樾山花园9号楼,2201,G06105-0255,住宅,93.80,53972.59,5062629,未售
16,里城玺樾山花园9号楼,2202,G06105-0255,住宅,79.83,55714.53,4447691,未售
17,里城玺樾山花园9号楼,2203,G06105-0255,住宅,91.89,54496.79,5007710,未售
18,里城玺樾山花园9号楼,2204,G06105-0255,住宅,91.89,54296.79,4989332,未售
19,里城玺樾山花园9号楼,2205,G06105-0255,住宅,79.83,54596.79,4358462,未售
20,里城玺樾山花园9号楼,2206,G06105-0255,住宅,93.80,53472.59,5015729,未售
21,里城玺樾山花园9号楼,2301,G06105-0255,住宅,93.80,54022.59,5067319,未售
22,里城玺樾山花园9号楼,2302,G06105-0255,住宅,79.83,55764.52,4451682,未售
23,里城玺樾山花园9号楼,2303,G06105-0255,住宅,91.89,54546.78,5012304,未售
24,里城玺樾山花园9号楼,2304,G06105-0255,住宅,91.89,54346.78,4993926,未售
